[INFO ] [2023-04-18 22:29:51,308] Login - Step 01: Open Login Link At Home Page
[INFO ] [2023-04-18 22:29:52,394] Login - Step 02: Input to Email textbox with value: automationkfc66619@testting.com
[INFO ] [2023-04-18 22:29:52,589] Login - Step 03: Input to Email textbox with value: 123456?Aa
[INFO ] [2023-04-18 22:29:52,774] Login - Step 04: Click to Login button at Login page
[INFO ] [2023-04-18 22:29:53,554] Login - Step 05: Verify My Account link displayed
[INFO ] [2023-04-18 22:29:53,643]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-04-18 22:29:55,660] OS name = windows 10
[INFO ] [2023-04-18 22:29:55,662] Driver instance name = windows 10
[INFO ] [2023-04-18 22:38:12,500] Login - Step 01: Open Login Link At Home Page
[INFO ] [2023-04-18 22:38:13,593] Login - Step 02: Input to Email textbox with value: automationkfc55566@testting.com
[INFO ] [2023-04-18 22:38:13,793] Login - Step 03: Input to Email textbox with value: 123456?Aa
[INFO ] [2023-04-18 22:38:13,978] Login - Step 04: Click to Login button at Login page
[INFO ] [2023-04-18 22:38:14,792] Login - Step 05: Verify My Account link displayed
[INFO ] [2023-04-18 22:38:14,871]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-04-18 22:38:16,900] OS name = windows 10
[INFO ] [2023-04-18 22:38:16,900] Driver instance name = windows 10
[INFO ] [2023-04-18 22:39:29,301] Login - Step 01: Open Login Link At Home Page
[INFO ] [2023-04-18 22:39:30,378] Login - Step 02: Input to Email textbox with value: automationkfc85493@testting.com
[INFO ] [2023-04-18 22:39:30,573] Login - Step 03: Input to Email textbox with value: 123456?Aa
[INFO ] [2023-04-18 22:39:30,758] Login - Step 04: Click to Login button at Login page
[INFO ] [2023-04-18 22:39:31,560] Login - Step 05: Verify My Account link displayed
[INFO ] [2023-04-18 22:39:31,644]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-04-18 22:39:33,670] OS name = windows 10
[INFO ] [2023-04-18 22:39:33,671] Driver instance name = windows 10
[INFO ] [2023-04-18 22:42:07,961] Login - Step 01: Open Login Link At Home Page
